,player_id,goals,assists,minutes_played,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,log_minutes_played,log_highest_value
0,3333,38,70,25686,James,Milner,James Milner,2023,1237,james-milner,England,Leeds,England,1986-01-04,Central Midfield,Midfield,right,175.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,https://www.transfermarkt.co.uk/james-milner/profil/spieler/3333,GB1,Brighton & Hove Albion,1000000.0,21000000.0,10.153701375373002,16.860032995687696
1,7161,64,78,20209,Jonas,Hofmann,Jonas Hofmann,2023,15,jonas-hofmann,Germany,Heidelberg,Germany,1992-07-14,Attacking Midfield,Midfield,right,176.0,2027-06-30 00:00:00,Dr. Marco Gutfleisch,https://img.a.transfermarkt.technology/portrait/header/7161-1689710421.jpg?lm=1,https://www.transfermarkt.co.uk/jonas-hofmann/profil/spieler/7161,L1,Bayer 04 Leverkusen,10000000.0,16000000.0,9.913883328718248,16.588099280204055
2,16306,42,37,32078,,Casemiro,Casemiro,2023,985,casemiro,Brazil,São José dos Campos,Brazil,1992-02-23,Defensive Midfield,Midfield,right,185.0,2026-06-30 00:00:00,Best of You,https://img.a.transfermarkt.technology/portrait/header/16306-1699018876.jpg?lm=1,https://www.transfermarkt.co.uk/casemiro/profil/spieler/16306,GB1,Manchester United,20000000.0,80000000.0,10.375925715897324,18.197537192638155
3,18644,107,41,20270,Álvaro,Negredo,Álvaro Negredo,2023,2687,alvaro-negredo,Spain,Madrid,Spain,1985-08-20,Centre-Forward,Attack,left,186.0,,,https://img.a.transfermarkt.technology/portrait/header/18644-1663139293.jpg?lm=1,https://www.transfermarkt.co.uk/alvaro-negredo/profil/spieler/18644,ES1,Cádiz CF,300000.0,27000000.0,9.916897239446046,17.111347423968603
4,20005,82,89,30184,,Papu Gómez,Papu Gómez,2023,2919,papu-gomez,Argentina,Buenos Aires,Argentina,1988-02-15,Left Winger,Attack,right,167.0,,GR Sports,https://img.a.transfermarkt.technology/portrait/header/20005-1670101551.jpg?lm=1,https://www.transfermarkt.co.uk/papu-gomez/profil/spieler/20005,IT1,AC Monza,2000000.0,18000000.0,10.315067261644147,16.70588231586044
5,20506,10,46,27450,Andrés,Guardado,Andrés Guardado,2023,150,andres-guardado,Mexico,Guadalajara,Mexico,1986-09-28,Central Midfield,Midfield,left,167.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/20506-1660318679.jpeg?lm=1,https://www.transfermarkt.co.uk/andres-guardado/profil/spieler/20506,ES1,Real Betis Balompié,1000000.0,12000000.0,10.220121446937677,16.300417207752275
6,25488,86,104,34474,Antonio,Candreva,Antonio Candreva,2023,380,antonio-candreva,Italy,Roma,Italy,1987-02-28,Right Midfield,Midfield,right,180.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/25488-1630591271.jpg?lm=1,https://www.transfermarkt.co.uk/antonio-candreva/profil/spieler/25488,IT1,US Salernitana 1919,1000000.0,27000000.0,10.447960695714336,17.111347423968603
7,27992,33,79,34572,Luka,Modric,Luka Modric,2023,418,luka-modric,Jugoslawien (SFR),Zadar,Croatia,1985-09-09,Central Midfield,Midfield,right,172.0,2025-06-30 00:00:00,Universal Twenty Two,https://img.a.transfermarkt.technology/portrait/header/27992-1687776160.jpg?lm=1,https://www.transfermarkt.co.uk/luka-modric/profil/spieler/27992,ES1,Real Madrid,6000000.0,55000000.0,10.450799384872528,17.822843743196746
8,30321,20,31,16675,Óscar,Trejo,Óscar Trejo,2023,367,oscar-trejo,Argentina,Santiago del Estero,Argentina,1988-04-26,Attacking Midfield,Midfield,right,180.0,2025-06-30 00:00:00,Eleven Talent Group,https://img.a.transfermarkt.technology/portrait/header/30321-1653039805.jpg?lm=1,https://www.transfermarkt.co.uk/oscar-trejo/profil/spieler/30321,ES1,Rayo Vallecano,1000000.0,4000000.0,9.721665870783825,15.201804919084164
9,31599,0,4,3592,Norman,Theuerkauf,Norman Theuerkauf,2023,2036,norman-theuerkauf,East Germany (GDR),Nordhausen,Germany,1987-01-24,Defensive Midfield,Midfield,left,183.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/31599-1657874835.jpg?lm=1,https://www.transfermarkt.co.uk/norman-theuerkauf/profil/spieler/31599,L1,1.FC Heidenheim 1846,300000.0,1500000.0,8.18646442942209,14.22097566607244
10,31909,38,104,40262,Toni,Kroos,Toni Kroos,2023,418,toni-kroos,East Germany (GDR),Greifswald,Germany,1990-01-04,Central Midfield,Midfield,right,183.0,,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/31909-1700638741.jpg?lm=1,https://www.transfermarkt.co.uk/toni-kroos/profil/spieler/31909,ES1,Real Madrid,10000000.0,80000000.0,10.603163375058774,18.197537192638155
